#id,name,nameEN,groupTag(outdoor,alone,active)
0,アクアリウム,aquarium,010
1,バンド,band,000
2,バスケットボール,basketball,001
3,バーベキュー,BBQ,100
4,刺繍,embroidery,010
5,釣り,fishing,110
6,フットサル,futsal,101
7,テレビゲーム,game,010
8,ゲートボール,gate ball,100
9,俳句,haiku,010
10,ホームパーティー,home party,000
11,温泉ツアー,hot springs tour,110
12,将棋,japanese chess,000
13,筋トレ,muscle training,011
14,ネイルアート,nail art,010
15,ピクニック,picnic,100
16,ラジコン,radio control,110
17,ロードバイク,road bike,111
18,スケート,skate,101
19,スケートボード,skateboard,111
20,水泳,swimming,011
21,仏閣巡り,temples and shrines tour,110
22,ケイビング,caving,101
23,ワイン,wine,010